split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
later,All,EWMA alpha 0.30,2,1638,406,0.489914540887434,0.7166386857562351,-0.03910418769497719,0.8781672758389691,67.24137931034483,1638,0.8235653235653235,1.641005884084238,1638,0.9536019536019537,2.923688080489559
later,All,EWMA alpha 0.30,3,1614,398,0.5219006539013729,0.771570045042166,-0.04133161561632364,0.9481154693245717,69.34673366834171,1614,0.8209417596034696,1.7242820524794542,1614,0.9473358116480793,3.0456456082262844
later,All,EWMA alpha 0.30,4,1552,387,0.5890929536936154,0.8480171566201965,0.1060853198882084,1.0596492557187325,65.11627906976744,1552,0.7880154639175257,1.7618219983804464,1552,0.9355670103092784,3.112525231832959
later,All,EWMA alpha 0.30,5,1525,381,0.6241833639895706,0.890543195138592,0.09167911243671631,1.1250317415084903,69.29133858267717,1525,0.7718032786885246,1.8139441537860261,1525,0.9370491803278689,3.2439069098908475
later,All,Last 10 observed-year mean,1,1709,446,0.5241630717514402,0.7536387095552123,-0.2048281845255627,0.9451349533852821,58.07174887892377,1709,0.8004681100058514,1.637488478363846,1709,0.9444119368051492,2.902428125338158
later,All,Last 10 observed-year mean,2,1638,406,0.5230587932953358,0.7781787373234089,-0.14136681472463064,0.9368727877684129,61.083743842364534,1638,0.818070818070818,1.7125636584755637,1638,0.9542124542124543,3.03739225000407
later,All,Last 10 observed-year mean,3,1614,398,0.5514502818969996,0.8244464831196189,-0.14424994948670353,0.9946068690721648,63.31658291457286,1614,0.8135068153655515,1.77310714457447,1614,0.9516728624535316,3.1183362311804927
later,All,Last 10 observed-year mean,4,1552,387,0.6038512103410617,0.8810616270919351,0.002525717190551028,1.0832123376453215,58.656330749354005,1552,0.7847938144329897,1.8042575227160431,1552,0.9432989690721649,3.2121007675548348
later,All,Last 10 observed-year mean,5,1525,381,0.6225858704271227,0.9019662846435464,-0.009559006128915434,1.11911569298616,67.45406824146981,1525,0.7901639344262295,1.861665392702067,1525,0.9468852459016394,3.2874350326550186
later,All,Last 5 observed-year mean,1,1709,446,0.5073545842589987,0.7185217610179853,-0.11134373637590074,0.9129365773774794,57.847533632286996,1709,0.8098303101228789,1.5970796692579903,1709,0.9473376243417203,2.8301004157811422
later,All,Last 5 observed-year mean,2,1638,406,0.5110703629191397,0.7461918972488641,-0.04595706752790204,0.9156291366291825,61.822660098522164,1638,0.8199023199023199,1.6738721204721192,1638,0.9517704517704517,2.9948692132602845
later,All,Last 5 observed-year mean,3,1614,398,0.5388023864686045,0.791175381334267,-0.047210256426574136,0.9761671148114416,62.311557788944725,1614,0.8197026022304833,1.755222050977557,1614,0.9454770755885997,3.0966744241405015
later,All,Last 5 observed-year mean,4,1552,387,0.6169508563640118,0.8825601315529084,0.09994404803338512,1.105792846277632,58.139534883720934,1552,0.7712628865979382,1.7790401361274755,1552,0.9317010309278351,3.143929716369325
later,All,Last 5 observed-year mean,5,1525,381,0.6433465995886557,0.9123349186577252,0.08686901097243423,1.1561635889125348,63.51706036745407,1525,0.7691803278688525,1.8363618686032708,1525,0.9324590163934426,3.2831600270621903
later,All,Local-level state-space,1,1709,446,0.49431528594048846,0.7070787550830893,-0.07873515492872239,0.8866966289468784,62.5560538116592,1709,0.807489760093622,1.5979487168372444,1709,0.9432416617905208,2.762377244257658
later,All,Local-level state-space,2,1638,406,0.5048501178676678,0.7305458210813911,-0.014784929401367379,0.8995654421751003,66.25615763546799,1638,0.8229548229548229,1.6841938314457756,1638,0.9542124542124543,2.9943335032387632
